Time,EXX,SXX
0,0,0
1,0.000133333,9.6
2,0.000266667,19.2
3,0.0004,28.8
4,0.000533333,38.4
5,0.000666667,48
6,0.0008,57.6
7,0.000933333,67.2
8,0.00106667,76.8
9,0.0012,86.4
10,0.00133333,96
11,0.00146667,105.6
12,0.0016,115.2
13,0.00173333,124.8
14,0.00186667,134.4
15,0.002,144
16,0.00213333,150.893
17,0.00226667,156.503
18,0.0024,162.061
19,0.00253333,167.565
20,0.00266667,173.015
21,0.0028,178.41
22,0.00293333,183.749
23,0.00306667,189.031
24,0.0032,194.256
25,0.00333333,199.423
26,0.00346667,204.531
27,0.0036,209.579
28,0.00373333,214.566
29,0.00386667,219.493
30,0.004,224.357
31,0.00413333,229.158
32,0.00426667,233.897
33,0.0044,238.571
34,0.00453333,243.18
35,0.00466667,247.724
36,0.0048,252.201
37,0.00493333,256.612
38,0.00506667,260.956
39,0.0052,265.232
40,0.00533333,269.44
41,0.00546667,273.579
42,0.0056,277.649
43,0.00573333,281.649
44,0.00586667,285.579
45,0.006,289.439
46,0.00613333,293.228
47,0.00626667,296.946
48,0.0064,300.594
49,0.00653333,304.17
50,0.00666667,307.675
51,0.0068,311.108
52,0.00693333,314.47
53,0.00706667,317.761
54,0.0072,320.981
55,0.00733333,324.129
56,0.00746667,327.207
57,0.0076,330.214
58,0.00773333,333.151
59,0.00786667,336.018
60,0.008,338.816
61,0.00813333,341.545
62,0.00826667,344.205
63,0.0084,346.797
64,0.00853333,349.323
65,0.00866667,351.781
66,0.0088,354.174
67,0.00893333,356.501
68,0.00906667,358.765
69,0.0092,360.964
70,0.00933333,363.102
71,0.00946667,365.177
72,0.0096,367.192
73,0.00973333,369.148
74,0.00986667,371.044
75,0.01,372.884
76,0.0101333,374.666
77,0.0102667,376.393
78,0.0104,378.066
79,0.0105333,379.686
80,0.0106667,381.254
81,0.0108,382.77
82,0.0109333,384.238
83,0.0110667,385.656
84,0.0112,387.027
85,0.0113333,388.352
86,0.0114667,389.632
87,0.0116,390.868
88,0.0117333,392.062
89,0.0118667,393.214
90,0.012,394.326
91,0.0121333,395.398
92,0.0122667,396.433
93,0.0124,397.43
94,0.0125333,398.392
95,0.0126667,399.319
96,0.0128,400.212
97,0.0129333,401.073
98,0.0130667,401.902
99,0.0132,402.7
100,0.0133333,403.469
101,0.0134667,404.21
102,0.0136,404.922
103,0.0137333,405.608
104,0.0138667,406.269
105,0.014,406.904
106,0.0141333,407.515
107,0.0142667,408.104
108,0.0144,408.669
109,0.0145333,409.214
110,0.0146667,409.737
111,0.0148,410.241
112,0.0149333,410.725
113,0.0150667,411.191
114,0.0152,411.638
115,0.0153333,412.069
116,0.0154667,412.483
117,0.0156,412.88
118,0.0157333,413.263
119,0.0158667,413.631
120,0.016,413.984
121,0.0161333,414.324
122,0.0162667,414.651
123,0.0164,414.965
124,0.0165333,415.267
125,0.0166667,415.557
126,0.0168,415.837
127,0.0169333,416.105
128,0.0170667,416.363
129,0.0172,416.621
130,0.0173333,416.869
131,0.0174667,417.106
132,0.0176,417.334
133,0.0177333,417.553
134,0.0178667,417.764
135,0.018,417.966
136,0.0181333,418.159
137,0.0182667,418.346
138,0.0184,418.524
139,0.0185333,418.696
140,0.0186667,418.861
141,0.0188,419.019
142,0.0189333,419.172
143,0.0190667,419.318
144,0.0192,419.459
145,0.0193333,419.594
146,0.0194667,419.724
147,0.0196,419.849
148,0.0197333,419.969
