Time,EXX,SXX
0,0,0
1,0.0001,21
2,0.0002,42
3,0.0003,63
4,0.0004,84
5,0.0005,105
6,0.0006,126
7,0.0007,147
8,0.0008,168
9,0.0009,189
10,0.001,210
11,0.0011,231
12,0.0012,252
13,0.0013,273
14,0.0014,294
15,0.0015,315
16,0.0016,336
17,0.0017,357
18,0.0018,378
19,0.0019,385.804
20,0.002,392.07
21,0.0021,398.187
22,0.0022,404.157
23,0.0023,409.981
24,0.0024,415.658
25,0.0025,421.191
26,0.0026,426.581
27,0.0027,431.829
28,0.0028,436.936
29,0.0029,441.905
30,0.003,446.736
31,0.0031,451.432
32,0.0032,455.994
33,0.0033,460.424
34,0.0034,464.724
35,0.0035,468.897
36,0.0036,472.944
37,0.0037,476.868
38,0.0038,480.671
39,0.0039,484.355
40,0.004,487.923
41,0.0041,491.377
42,0.0042,494.719
43,0.0043,497.953
44,0.0044,501.08
45,0.0045,504.104
46,0.0046,507.026
47,0.0047,509.85
48,0.0048,512.577
49,0.0049,515.211
50,0.005,517.754
51,0.0051,520.209
52,0.0052,522.578
53,0.0053,524.863
54,0.0054,527.068
55,0.0055,529.194
56,0.0056,531.245
57,0.0057,533.222
58,0.0058,535.128
59,0.0059,536.965
60,0.006,538.736
61,0.0061,540.443
62,0.0062,542.087
63,0.0063,543.672
64,0.0064,545.199
65,0.0065,546.671
66,0.0066,548.089
67,0.0067,549.455
68,0.0068,550.772
69,0.0069,552.041
70,0.007,553.264
71,0.0071,554.442
72,0.0072,555.578
73,0.0073,556.673
74,0.0074,557.729
75,0.0075,558.747
76,0.0076,559.729
77,0.0077,560.676
78,0.0078,561.59
79,0.0079,562.471
80,0.008,563.322
81,0.0081,564.144
82,0.0082,564.937
83,0.0083,565.703
84,0.0084,566.443
85,0.0085,567.158
86,0.0086,567.85
87,0.0087,568.518
88,0.0088,569.165
89,0.0089,569.791
90,0.009,570.397
91,0.0091,570.984
92,0.0092,571.552
93,0.0093,572.103
94,0.0094,572.637
95,0.0095,573.155
96,0.0096,573.658
97,0.0097,574.146
98,0.0098,574.62
99,0.0099,575.093
100,0.01,575.553
101,0.0101,575.999
102,0.0102,576.432
103,0.0103,576.853
104,0.0104,577.262
105,0.0105,577.661
106,0.0106,578.048
107,0.0107,578.426
108,0.0108,578.793
109,0.0109,579.152
110,0.011,579.502
111,0.0111,579.843
112,0.0112,580.176
113,0.0113,580.502
114,0.0114,580.821
115,0.0115,581.132
116,0.0116,581.437
117,0.0117,581.735
118,0.0118,582.028
119,0.0119,582.315
120,0.012,582.596
121,0.0121,582.872
122,0.0122,583.143
123,0.0123,583.409
124,0.0124,583.671
125,0.0125,583.928
126,0.0126,584.181
127,0.0127,584.43
128,0.0128,584.676
129,0.0129,584.917
130,0.013,585.156
131,0.0131,585.39
132,0.0132,585.622
133,0.0133,585.851
134,0.0134,586.077
135,0.0135,586.3
136,0.0136,586.52
137,0.0137,586.738
138,0.0138,586.953
139,0.0139,587.167
140,0.014,587.377
141,0.0141,587.586
142,0.0142,587.793
143,0.0143,587.998
144,0.0144,588.2
145,0.0145,588.401
146,0.0146,588.601
147,0.0147,588.798
148,0.0148,588.994
149,0.0149,589.189
150,0.015,589.382
151,0.0151,589.574
152,0.0152,589.764
153,0.0153,589.953
154,0.0154,590.14
155,0.0155,590.327
156,0.0156,590.512
157,0.0157,590.696
158,0.0158,590.879
159,0.0159,591.061
160,0.016,591.242
161,0.0161,591.422
162,0.0162,591.601
163,0.0163,591.78
164,0.0164,591.957
165,0.0165,592.133
166,0.0166,592.309
167,0.0167,592.484
168,0.0168,592.658
169,0.0169,592.831
170,0.017,593.003
171,0.0171,593.175
172,0.0172,593.346
173,0.0173,593.516
174,0.0174,593.686
175,0.0175,593.855
176,0.0176,594.024
177,0.0177,594.192
178,0.0178,594.359
179,0.0179,594.526
180,0.018,594.692
181,0.0181,594.857
182,0.0182,595.022
183,0.0183,595.187
184,0.0184,595.351
185,0.0185,595.514
186,0.0186,595.677
187,0.0187,595.84
188,0.0188,596.002
189,0.0189,596.163
190,0.019,596.324
191,0.0191,596.485
192,0.0192,596.645
193,0.0193,596.805
194,0.0194,596.964
195,0.0195,597.123
196,0.0196,597.281
197,0.0197,597.439
198,0.0198,597.597
199,0.0199,597.754
200,0.02,597.911
201,0.0201,598.068
202,0.0202,598.224
203,0.0203,598.379
204,0.0204,598.535
205,0.0205,598.689
206,0.0206,598.844
207,0.0207,598.998
208,0.0208,599.152
209,0.0209,599.306
210,0.021,599.459
211,0.0211,599.611
212,0.0212,599.764
213,0.0213,599.916
214,0.0214,600.068
215,0.0215,600.219
216,0.0216,600.37
217,0.0217,600.521
218,0.0218,600.671
219,0.0219,600.821
220,0.022,600.971
221,0.0221,601.12
222,0.0222,601.27
223,0.0223,601.418
224,0.0224,601.567
225,0.0225,601.715
226,0.0226,601.863
227,0.0227,602.01
228,0.0228,602.157
229,0.0229,602.304
230,0.023,602.451
231,0.0231,602.597
232,0.0232,602.743
233,0.0233,602.889
234,0.0234,603.034
235,0.0235,603.179
236,0.0236,603.324
237,0.0237,603.468
238,0.0238,603.613
239,0.0239,603.757
240,0.024,603.9
241,0.0241,604.043
242,0.0242,604.186
243,0.0243,604.329
244,0.0244,604.471
245,0.0245,604.614
246,0.0246,604.755
247,0.0247,604.897
248,0.0248,605.038
249,0.0249,605.179
250,0.025,605.32
251,0.0251,605.46
252,0.0252,605.6
253,0.0253,605.74
254,0.0254,605.88
255,0.0255,606.019
256,0.0256,606.158
257,0.0257,606.297
258,0.0258,606.435
259,0.0259,606.573
260,0.026,606.711
261,0.0261,606.849
262,0.0262,606.986
263,0.0263,607.123
264,0.0264,607.26
265,0.0265,607.397
266,0.0266,607.533
267,0.0267,607.669
268,0.0268,607.804
269,0.0269,607.94
270,0.027,608.075
271,0.0271,608.21
272,0.0272,608.345
273,0.0273,608.479
274,0.0274,608.613
275,0.0275,608.747
276,0.0276,608.88
277,0.0277,609.014
278,0.0278,609.147
279,0.0279,609.279
280,0.028,609.412
281,0.0281,609.544
282,0.0282,609.676
283,0.0283,609.808
284,0.0284,609.939
285,0.0285,610.07
286,0.0286,610.201
287,0.0287,610.332
288,0.0288,610.462
289,0.0289,610.593
290,0.029,610.722
291,0.0291,610.852
292,0.0292,610.982
293,0.0293,611.111
294,0.0294,611.239
295,0.0295,611.368
296,0.0296,611.496
297,0.0297,611.625
298,0.0298,611.752
299,0.0299,611.88
300,0.03,612.007
301,0.0301,612.134
302,0.0302,612.261
303,0.0303,612.388
304,0.0304,612.514
305,0.0305,612.64
306,0.0306,612.766
307,0.0307,612.892
308,0.0308,613.017
309,0.0309,613.142
310,0.031,613.267
311,0.0311,613.392
312,0.0312,613.516
313,0.0313,613.64
314,0.0314,613.764
315,0.0315,613.888
316,0.0316,614.011
317,0.0317,614.134
318,0.0318,614.257
319,0.0319,614.38
320,0.032,614.502
321,0.0321,614.624
322,0.0322,614.746
323,0.0323,614.868
324,0.0324,614.989
325,0.0325,615.11
326,0.0326,615.231
327,0.0327,615.352
328,0.0328,615.473
329,0.0329,615.593
330,0.033,615.713
331,0.0331,615.833
332,0.0332,615.952
333,0.0333,616.071
334,0.0334,616.191
335,0.0335,616.309
336,0.0336,616.428
337,0.0337,616.546
338,0.0338,616.664
339,0.0339,616.782
340,0.034,616.9
341,0.0341,617.017
342,0.0342,617.135
343,0.0343,617.252
344,0.0344,617.368
345,0.0345,617.485
346,0.0346,617.601
347,0.0347,617.717
348,0.0348,617.833
349,0.0349,617.948
350,0.035,618.064
351,0.0351,618.179
352,0.0352,618.294
353,0.0353,618.409
354,0.0354,618.523
355,0.0355,618.637
356,0.0356,618.751
357,0.0357,618.865
358,0.0358,618.978
359,0.0359,619.092
360,0.036,619.205
361,0.0361,619.318
362,0.0362,619.43
363,0.0363,619.543
364,0.0364,619.655
365,0.0365,619.767
366,0.0366,619.879
367,0.0367,619.99
368,0.0368,620.102
369,0.0369,620.213
370,0.037,620.324
371,0.0371,620.434
372,0.0372,620.545
373,0.0373,620.655
374,0.0374,620.765
375,0.0375,620.875
376,0.0376,620.984
377,0.0377,621.094
378,0.0378,621.203
379,0.0379,621.312
380,0.038,621.42
381,0.0381,621.529
382,0.0382,621.637
383,0.0383,621.745
384,0.0384,621.853
385,0.0385,621.961
386,0.0386,622.068
387,0.0387,622.175
388,0.0388,622.282
389,0.0389,622.389
390,0.039,622.496
391,0.0391,622.602
392,0.0392,622.708
393,0.0393,622.814
394,0.0394,622.92
395,0.0395,623.025
396,0.0396,623.131
397,0.0397,623.236
398,0.0398,623.341
399,0.0399,623.445
400,0.04,623.55
401,0.0401,623.654
402,0.0402,623.758
403,0.0403,623.862
404,0.0404,623.966
405,0.0405,624.069
406,0.0406,624.172
407,0.0407,624.275
408,0.0408,624.378
409,0.0409,624.481
410,0.041,624.583
411,0.0411,624.686
412,0.0412,624.788
413,0.0413,624.889
414,0.0414,624.991
415,0.0415,625.092
416,0.0416,625.194
417,0.0417,625.295
418,0.0418,625.396
419,0.0419,625.496
420,0.042,625.597
421,0.0421,625.697
422,0.0422,625.797
423,0.0423,625.897
424,0.0424,625.996
425,0.0425,626.096
426,0.0426,626.195
427,0.0427,626.294
428,0.0428,626.393
429,0.0429,626.492
430,0.043,626.59
431,0.0431,626.688
432,0.0432,626.786
433,0.0433,626.884
434,0.0434,626.982
435,0.0435,627.079
436,0.0436,627.177
437,0.0437,627.274
438,0.0438,627.371
439,0.0439,627.467
440,0.044,627.564
441,0.0441,627.66
442,0.0442,627.756
443,0.0443,627.852
444,0.0444,627.948
445,0.0445,628.044
446,0.0446,628.139
447,0.0447,628.234
448,0.0448,628.329
449,0.0449,628.424
450,0.045,628.519
451,0.0451,628.613
452,0.0452,628.707
453,0.0453,628.801
454,0.0454,628.895
455,0.0455,628.989
456,0.0456,629.082
457,0.0457,629.176
458,0.0458,629.269
459,0.0459,629.362
460,0.046,629.455
461,0.0461,629.547
462,0.0462,629.64
463,0.0463,629.732
464,0.0464,629.824
465,0.0465,629.916
466,0.0466,630.007
467,0.0467,630.099
468,0.0468,630.19
469,0.0469,630.281
470,0.047,630.372
471,0.0471,630.463
472,0.0472,630.554
473,0.0473,630.644
474,0.0474,630.734
475,0.0475,630.824
476,0.0476,630.914
477,0.0477,631.004
478,0.0478,631.094
479,0.0479,631.183
480,0.048,631.272
481,0.0481,631.361
482,0.0482,631.45
483,0.0483,631.538
484,0.0484,631.627
485,0.0485,631.715
486,0.0486,631.803
487,0.0487,631.891
488,0.0488,631.979
489,0.0489,632.067
490,0.049,632.154
491,0.0491,632.241
492,0.0492,632.328
493,0.0493,632.415
494,0.0494,632.502
495,0.0495,632.588
496,0.0496,632.675
497,0.0497,632.761
498,0.0498,632.847
499,0.0499,632.933
500,0.05,633.019
501,0.0501,633.104
502,0.0502,633.19
503,0.0503,633.275
504,0.0504,633.36
505,0.0505,633.445
506,0.0506,633.529
507,0.0507,633.614
508,0.0508,633.698
509,0.0509,633.782
510,0.051,633.866
511,0.0511,633.95
512,0.0512,634.034
513,0.0513,634.117
514,0.0514,634.201
515,0.0515,634.284
516,0.0516,634.367
517,0.0517,634.45
518,0.0518,634.532
519,0.0519,634.615
520,0.052,634.697
521,0.0521,634.78
522,0.0522,634.862
523,0.0523,634.943
524,0.0524,635.025
525,0.0525,635.107
526,0.0526,635.188
527,0.0527,635.269
528,0.0528,635.35
529,0.0529,635.431
530,0.053,635.512
531,0.0531,635.593
532,0.0532,635.673
533,0.0533,635.753
534,0.0534,635.833
535,0.0535,635.913
536,0.0536,635.993
537,0.0537,636.073
538,0.0538,636.152
539,0.0539,636.232
540,0.054,636.311
541,0.0541,636.39
542,0.0542,636.469
543,0.0543,636.547
544,0.0544,636.626
545,0.0545,636.704
546,0.0546,636.782
547,0.0547,636.861
548,0.0548,636.938
549,0.0549,637.016
550,0.055,637.094
551,0.0551,637.171
552,0.0552,637.249
553,0.0553,637.326
554,0.0554,637.403
555,0.0555,637.479
556,0.0556,637.556
557,0.0557,637.633
558,0.0558,637.709
559,0.0559,637.785
560,0.056,637.861
561,0.0561,637.937
562,0.0562,638.013
