time-cyclique1_ex2_il;exx-cyclique1_ex2_il;sxx-cyclique1_ex2_il
12;0.0016;32.0
13;0.00173333;34.6667
14;0.00186667;37.3333
15;0.002;40.0
16;0.00213333;42.6667
17;0.00226667;45.3333
18;0.0024;48.0
19;0.00253333;50.6667
20;0.00266667;53.3333
21;0.0028;56.0
22;0.00293333;58.6667
23;0.00306667;61.3333
24;0.0032;64.0
25;0.00333333;66.6667
26;0.00346667;69.3333
27;0.0036;72.0
28;0.00373333;74.6667
29;0.00386667;77.3333
30;0.004;80.0
31;0.00413333;82.6667
32;0.00426667;85.3333
33;0.0044;88.0
34;0.00453333;90.6667
35;0.00466667;93.3333
36;0.0048;96.0
37;0.00493333;98.6667
38;0.00506667;101.333
39;0.0052;104.0
40;0.00533333;106.667
41;0.00546667;109.333
42;0.0056;112.0
43;0.00573333;114.667
44;0.00586667;117.333
45;0.006;120.0
46;0.00613333;122.667
47;0.00626667;125.333
48;0.0064;128.0
49;0.00653333;130.667
50;0.00666667;133.333
51;0.0068;136.0
52;0.00693333;138.667
53;0.00706667;141.333
54;0.0072;144.0
55;0.00733333;146.667
56;0.00746667;149.333
57;0.0076;152.0
58;0.00773333;154.667
59;0.00786667;157.333
60;0.008;160.0
61;0.00813333;162.667
62;0.00826667;165.333
63;0.0084;168.0
64;0.00853333;170.667
65;0.00866667;173.333
66;0.0088;176.0
67;0.00893333;178.667
68;0.00906667;181.333
69;0.0092;184.0
70;0.00933333;186.667
71;0.00946667;189.333
72;0.0096;192.0
73;0.00973333;194.667
74;0.00986667;197.333
75;0.01;200.0
76;0.0101333;202.667
77;0.0102667;205.333
78;0.0104;208.0
79;0.0105333;210.667
80;0.0106667;213.333
81;0.0108;216.0
82;0.0109333;218.667
83;0.0110667;221.333
84;0.0112;224.0
85;0.0113333;226.667
86;0.0114667;229.333
87;0.0116;232.0
88;0.0117333;234.667
89;0.0118667;237.333
90;0.012;240.0
91;0.0121333;242.667
92;0.0122667;245.333
93;0.0124;248.0
94;0.0125333;250.667
95;0.0126667;253.333
96;0.0128;256.0
97;0.0129333;258.667
98;0.0130667;261.333
99;0.0132;264.0
100;0.0133333;266.667
101;0.0134667;269.333
102;0.0136;272.0
103;0.0137333;274.667
104;0.0138667;277.333
105;0.014;280.0
106;0.0141333;282.667
107;0.0142667;285.333
108;0.0144;288.0
109;0.0145333;290.667
110;0.0146667;293.333
111;0.0148;296.0
112;0.0149333;298.667
113;0.0150667;301.333
114;0.0152;304.0
115;0.0153333;306.667
116;0.0154667;309.333
117;0.0156;312.0
118;0.0157333;314.667
119;0.0158667;317.333
120;0.016;320.0
121;0.0161333;322.667
122;0.0162667;325.333
123;0.0164;328.0
124;0.0165333;330.667
125;0.0166667;333.333
126;0.0168;336.0
127;0.0169333;338.667
128;0.0170667;341.333
129;0.0172;344.0
130;0.0173333;346.667
131;0.0174667;349.333
132;0.0176;352.0
133;0.0177333;354.667
134;0.0178667;357.333
135;0.018;360.0
136;0.0181333;362.667
137;0.0182667;365.333
138;0.0184;368.0
139;0.0185333;370.667
140;0.0186667;373.333
141;0.0188;376.0
142;0.0189333;378.667
143;0.0190667;381.333
144;0.0192;384.0
145;0.0193333;386.667
146;0.0194667;389.333
147;0.0196;392.0
148;0.0197333;394.667
149;0.0198667;397.333
150;0.02;400.0
151;0.0198667;397.333
152;0.0197333;394.667
153;0.0196;392.0
154;0.0194667;389.333
155;0.0193333;386.667
156;0.0192;384.0
157;0.0190667;381.333
158;0.0189333;378.667
159;0.0188;376.0
160;0.0186667;373.333
161;0.0185333;370.667
162;0.0184;368.0
163;0.0182667;365.333
164;0.0181333;362.667
165;0.018;360.0
166;0.0178667;357.333
167;0.0177333;354.667
168;0.0176;352.0
169;0.0174667;349.333
170;0.0173333;346.667
171;0.0172;344.0
172;0.0170667;341.333
173;0.0169333;338.667
174;0.0168;336.0
175;0.0166667;333.333
176;0.0165333;330.667
177;0.0164;328.0
178;0.0162667;325.333
179;0.0161333;322.667
180;0.016;320.0
181;0.0158667;317.333
182;0.0157333;314.667
183;0.0156;312.0
184;0.0154667;309.333
185;0.0153333;306.667
186;0.0152;304.0
187;0.0150667;301.333
188;0.0149333;298.667
189;0.0148;296.0
190;0.0146667;293.333
191;0.0145333;290.667
192;0.0144;288.0
193;0.0142667;285.333
194;0.0141333;282.667
195;0.014;280.0
196;0.0138667;277.333
197;0.0137333;274.667
198;0.0136;272.0
199;0.0134667;269.333
200;0.0133333;266.667
201;0.0132;264.0
202;0.0130667;261.333
203;0.0129333;258.667
204;0.0128;256.0
205;0.0126667;253.333
206;0.0125333;250.667
207;0.0124;248.0
208;0.0122667;245.333
209;0.0121333;242.667
210;0.012;240.0
211;0.0118667;237.333
212;0.0117333;234.667
213;0.0116;232.0
214;0.0114667;229.333
215;0.0113333;226.667
216;0.0112;224.0
217;0.0110667;221.333
218;0.0109333;218.667
219;0.0108;216.0
220;0.0106667;213.333
221;0.0105333;210.667
222;0.0104;208.0
223;0.0102667;205.333
224;0.0101333;202.667
225;0.01;200.0
226;0.00986667;197.333
227;0.00973333;194.667
228;0.0096;192.0
229;0.00946667;189.333
230;0.00933333;186.667
231;0.0092;184.0
232;0.00906667;181.333
233;0.00893333;178.667
234;0.0088;176.0
235;0.00866667;173.333
236;0.00853333;170.667
237;0.0084;168.0
238;0.00826667;165.333
239;0.00813333;162.667
240;0.008;160.0
241;0.00786667;157.333
242;0.00773333;154.667
