time-traction1_ex2_cl;exx-traction1_ex2_cl;sxx-traction1_ex2_cl
7;0.0007;14
8;0.0008;16
9;0.0009;18
10;0.001;20
11;0.0011;22
12;0.0012;24
13;0.0013;26
14;0.0014;28
15;0.0015;30
16;0.0016;32
17;0.0017;34
18;0.0018;36
19;0.0019;38
20;0.002;40
21;0.0021;42
22;0.0022;44
23;0.0023;46
24;0.0024;48
25;0.0025;50
26;0.0026;52
27;0.0027;54
28;0.0028;56
29;0.0029;58
30;0.003;60
31;0.0031;62
32;0.0032;64
33;0.0033;66
34;0.0034;68
35;0.0035;70
36;0.0036;72
37;0.0037;74
38;0.0038;76
39;0.0039;78
40;0.004;80
41;0.0041;82
42;0.0042;84
43;0.0043;86
44;0.0044;88
45;0.0045;90
46;0.0046;92
47;0.0047;94
48;0.0048;96
49;0.0049;98
50;0.005;100
51;0.0051;102
52;0.0052;104
53;0.0053;106
54;0.0054;108
55;0.0055;110
56;0.0056;112
57;0.0057;114
58;0.0058;116
59;0.0059;118
60;0.006;120
61;0.0061;122
62;0.0062;124
63;0.0063;126
64;0.0064;128
65;0.0065;130
66;0.0066;132
67;0.0067;134
68;0.0068;136
69;0.0069;138
70;0.007;140
71;0.0071;142
72;0.0072;144
73;0.0073;146
74;0.0074;148
75;0.0075;150
76;0.0076;152
77;0.0077;154
78;0.0078;156
79;0.0079;158
80;0.008;160
81;0.0081;162
82;0.0082;164
83;0.0083;166
84;0.0084;168
85;0.0085;170
86;0.0086;172
87;0.0087;174
88;0.0088;176
89;0.0089;178
90;0.009;180
91;0.0091;182
92;0.0092;184
93;0.0093;186
94;0.0094;188
95;0.0095;190
96;0.0096;192
97;0.0097;194
98;0.0098;196
99;0.0099;198
100;0.01;200
101;0.0101;202
102;0.0102;204
103;0.0103;206
104;0.0104;208
105;0.0105;210
106;0.0106;212
107;0.0107;214
108;0.0108;216
109;0.0109;218
110;0.011;220
111;0.0111;222
112;0.0112;224
113;0.0113;226
114;0.0114;228
115;0.0115;230
116;0.0116;232
117;0.0117;234
118;0.0118;236
119;0.0119;238
120;0.012;240
121;0.0121;242
122;0.0122;244
123;0.0123;246
124;0.0124;248
125;0.0125;250
126;0.0126;252
127;0.0127;254
128;0.0128;256
129;0.0129;258
130;0.013;260
131;0.0131;262
132;0.0132;264
133;0.0133;266
134;0.0134;268
135;0.0135;270
136;0.0136;272
137;0.0137;274
138;0.0138;276
139;0.0139;278
140;0.014;280
141;0.0141;282
142;0.0142;284
143;0.0143;286
144;0.0144;288
145;0.0145;290
146;0.0146;292
147;0.0147;294
148;0.0148;296
149;0.0149;298
150;0.015;300
151;0.0151;302
152;0.0152;304
153;0.0153;306
154;0.0154;308
155;0.0155;310
156;0.0156;312
157;0.0157;314
158;0.0158;316
159;0.0159;318
160;0.016;320
161;0.0161;322
162;0.0162;324
163;0.0163;326
164;0.0164;328
165;0.0165;330
166;0.0166;332
167;0.0167;334
168;0.0168;336
169;0.0169;338
170;0.017;340
171;0.0171;342
172;0.0172;344
173;0.0173;346
174;0.0174;348
175;0.0175;350
176;0.0176;352
177;0.0177;354
178;0.0178;356
179;0.0179;358
180;0.018;360
181;0.0181;362
182;0.0182;364
183;0.0183;366
184;0.0184;368
185;0.0185;370
186;0.0186;372
187;0.0187;374
188;0.0188;376
189;0.0189;378
190;0.019;380
191;0.0191;382
192;0.0192;384
193;0.0193;386
194;0.0194;388
195;0.0195;390
196;0.0196;392
197;0.0197;394
198;0.0198;396
199;0.0199;398
200;0.02;400
201;0.0201;402
202;0.0202;404
203;0.0203;406
204;0.0204;408
205;0.0205;410
206;0.0206;412
207;0.0207;414
208;0.0208;416
209;0.0209;418
210;0.021;420
211;0.0211;422
212;0.0212;424
213;0.0213;426
214;0.0214;428
215;0.0215;430
216;0.0216;432
217;0.0217;434
218;0.0218;436
219;0.0219;438
220;0.022;440
221;0.0221;442
222;0.0222;444
223;0.0223;446
224;0.0224;448
225;0.0225;450
226;0.0226;452
227;0.0227;454
228;0.0228;456
229;0.0229;458
230;0.023;460
231;0.0231;462
232;0.0232;464
233;0.0233;466
234;0.0234;468
235;0.0235;470
236;0.0236;472
237;0.0237;474
238;0.0238;476
239;0.0239;478
240;0.024;480
241;0.0241;482
242;0.0242;484
243;0.0243;486
244;0.0244;488
245;0.0245;490
246;0.0246;492
247;0.0247;494
248;0.0248;496
249;0.0249;498
250;0.025;500
251;0.0251;502
252;0.0252;504
253;0.0253;506
254;0.0254;508
255;0.0255;510
256;0.0256;512
257;0.0257;514
258;0.0258;516
259;0.0259;518
260;0.026;520
261;0.0261;522
262;0.0262;524
263;0.0263;526
264;0.0264;528
265;0.0265;530
266;0.0266;532
267;0.0267;534
268;0.0268;536
269;0.0269;538
270;0.027;540
271;0.0271;542
272;0.0272;544
273;0.0273;546
274;0.0274;548
275;0.0275;550
276;0.0276;552
277;0.0277;554
278;0.0278;556
279;0.0279;558
280;0.028;560
281;0.0281;562
282;0.0282;564
283;0.0283;566
284;0.0284;568
285;0.0285;570
286;0.0286;572
287;0.0287;574
288;0.0288;576
289;0.0289;578
290;0.029;580
291;0.0291;582
292;0.0292;584
293;0.0293;586
294;0.0294;588
295;0.0295;590
296;0.0296;592
297;0.0297;594
298;0.0298;596
299;0.0299;598
300;0.03;600
301;0.0301;602
302;0.0302;604
303;0.0303;606
304;0.0304;608
305;0.0305;610
306;0.0306;612
307;0.0307;614
308;0.0308;616
309;0.0309;618
310;0.031;620
311;0.0311;622
312;0.0312;624
313;0.0313;626
314;0.0314;628
315;0.0315;630
316;0.0316;632
317;0.0317;634
318;0.0318;636
319;0.0319;638
320;0.032;640
321;0.0321;642
322;0.0322;644
323;0.0323;646
324;0.0324;648
325;0.0325;650
326;0.0326;652
327;0.0327;654
328;0.0328;656
329;0.0329;658
330;0.033;660
331;0.0331;662
332;0.0332;664
333;0.0333;666
334;0.0334;668
335;0.0335;670
336;0.0336;672
337;0.0337;674
338;0.0338;676
339;0.0339;678
340;0.034;680
341;0.0341;682
342;0.0342;684
343;0.0343;686
344;0.0344;688
345;0.0345;690
346;0.0346;692
347;0.0347;694
348;0.0348;696
349;0.0349;698
350;0.035;700
351;0.0351;702
352;0.0352;704
353;0.0353;706
354;0.0354;708
355;0.0355;710
356;0.0356;712
357;0.0357;714
358;0.0358;716
359;0.0359;718
360;0.036;720
361;0.0361;722
362;0.0362;724
363;0.0363;726
364;0.0364;728
365;0.0365;730
366;0.0366;732
367;0.0367;734
368;0.0368;736
369;0.0369;738
370;0.037;740
371;0.0371;742
372;0.0372;744
373;0.0373;746
374;0.0374;748
375;0.0375;750
376;0.0376;752
377;0.0377;754
378;0.0378;756
379;0.0379;758
380;0.038;760
381;0.0381;762
382;0.0382;764
383;0.0383;766
384;0.0384;768
385;0.0385;770
386;0.0386;772
387;0.0387;774
388;0.0388;776
389;0.0389;778
390;0.039;780
391;0.0391;782
392;0.0392;784
393;0.0393;786
394;0.0394;788
395;0.0395;790
396;0.0396;792
397;0.0397;794
398;0.0398;796
399;0.0399;798
400;0.04;800
401;0.0401;802
402;0.0402;804
403;0.0403;806
404;0.0404;808
405;0.0405;810
406;0.0406;812
407;0.0407;814
408;0.0408;816
409;0.0409;818
410;0.041;820
411;0.0411;822
412;0.0412;824
413;0.0413;826
414;0.0414;828
415;0.0415;830
416;0.0416;832
417;0.0417;834
418;0.0418;836
419;0.0419;838
420;0.042;840
421;0.0421;842
