time-traction1_ex2_cnl;exx-traction1_ex2_cnl;sxx-traction1_ex2_cnl
0;0.0;0.0
1;0.0001;2.0
2;0.0002;4.0
3;0.0003;6.0
4;0.0004;8.0
5;0.0005;10.0
6;0.0006;12.0
7;0.0007;14.0
8;0.0008;16.0
9;0.0009;18.0
10;0.001;20.0
11;0.0011;22.0
12;0.0012;24.0
13;0.0013;26.0
14;0.0014;28.0
15;0.0015;30.0
16;0.0016;32.0
17;0.0017;34.0
18;0.0018;36.0
19;0.0019;38.0
20;0.002;40.0
21;0.0021;42.0
22;0.0022;44.0
23;0.0023;46.0
24;0.0024;48.0
25;0.0025;50.0
26;0.0026;52.0
27;0.0027;54.0
28;0.0028;56.0
29;0.0029;58.0
30;0.003;60.0
31;0.0031;62.0
32;0.0032;64.0
33;0.0033;66.0
34;0.0034;68.0
35;0.0035;70.0
36;0.0036;72.0
37;0.0037;74.0
38;0.0038;76.0
39;0.0039;78.0
40;0.004;80.0
41;0.0041;82.0
42;0.0042;84.0
43;0.0043;86.0
44;0.0044;88.0
45;0.0045;90.0
46;0.0046;92.0
47;0.0047;94.0
48;0.0048;96.0
49;0.0049;98.0
50;0.005;100.0
51;0.0051;102.0
52;0.0052;104.0
53;0.0053;106.0
54;0.0054;108.0
55;0.0055;110.0
56;0.0056;112.0
57;0.0057;114.0
58;0.0058;116.0
59;0.0059;118.0
60;0.006;120.0
61;0.0061;122.0
62;0.0062;124.0
63;0.0063;126.0
64;0.0064;128.0
65;0.0065;130.0
66;0.0066;132.0
67;0.0067;134.0
68;0.0068;136.0
69;0.0069;138.0
70;0.007;140.0
71;0.0071;142.0
72;0.0072;144.0
73;0.0073;146.0
74;0.0074;148.0
75;0.0075;150.0
76;0.0076;152.0
77;0.0077;154.0
78;0.0078;156.0
79;0.0079;158.0
80;0.008;160.0
81;0.0081;162.0
82;0.0082;164.0
83;0.0083;166.0
84;0.0084;168.0
85;0.0085;170.0
86;0.0086;172.0
87;0.0087;174.0
88;0.0088;176.0
89;0.0089;178.0
90;0.009;180.0
91;0.0091;182.0
92;0.0092;184.0
93;0.0093;186.0
94;0.0094;188.0
95;0.0095;190.0
96;0.0096;192.0
97;0.0097;194.0
98;0.0098;196.0
99;0.0099;198.0
100;0.01;200.0
101;0.0101;202.0
102;0.0102;204.0
103;0.0103;206.0
104;0.0104;208.0
105;0.0105;210.0
106;0.0106;212.0
107;0.0107;214.0
108;0.0108;216.0
109;0.0109;218.0
110;0.011;220.0
111;0.0111;222.0
112;0.0112;224.0
