time-ex3t1-simu;exx-ex3t1-simu;sxx-ex3t1-simu
0;0.0;0.0
1;7.37864e-06;0.147573
2;1.47573e-05;0.295146
3;2.21359e-05;0.442718
4;2.95146e-05;0.590291
5;3.68932e-05;0.737864
6;4.42718e-05;0.885437
7;5.16505e-05;1.03301
8;5.90291e-05;1.18058
9;6.64078e-05;1.32816
10;7.37864e-05;1.47573
11;8.1165e-05;1.6233
12;8.85437e-05;1.77087
13;9.59223e-05;1.91845
14;0.000103301;2.06602
15;0.00011068;2.21359
16;0.000118058;2.36117
17;0.000125437;2.50874
18;0.000132816;2.65631
19;0.000140194;2.80388
20;0.000147573;2.95146
21;0.000154951;3.09903
22;0.00016233;3.2466
23;0.000169709;3.39417
24;0.000177087;3.54175
25;0.000184466;3.68932
26;0.000191845;3.83689
27;0.000199223;3.98447
28;0.000206602;4.13204
29;0.000213981;4.27961
30;0.000221359;4.42718
31;0.000228738;4.57476
32;0.000236117;4.72233
33;0.000243495;4.8699
34;0.000250874;5.01748
35;0.000258252;5.16505
36;0.000265631;5.31262
37;0.00027301;5.46019
38;0.000280388;5.60777
39;0.000287767;5.75534
40;0.000295146;5.90291
41;0.000302524;6.05049
42;0.000309903;6.19806
43;0.000317282;6.34563
44;0.00032466;6.4932
45;0.000332039;6.64078
46;0.000339417;6.78835
47;0.000346796;6.93592
48;0.000354175;7.0835
49;0.000361553;7.23107
50;0.000368932;7.37864
51;0.000376311;7.52621
52;0.000383689;7.67379
53;0.000391068;7.82136
54;0.000398447;7.96893
55;0.000405825;8.1165
56;0.000413204;8.26408
57;0.000420583;8.41165
58;0.000427961;8.55922
59;0.00043534;8.7068
60;0.000442718;8.85437
61;0.000450097;9.00194
62;0.000457476;9.14951
63;0.000464854;9.29709
64;0.000472233;9.44466
65;0.000479612;9.59223
66;0.00048699;9.73981
67;0.000494369;9.88738
68;0.000501748;10.035
69;0.000509126;10.1825
70;0.000516505;10.3301
71;0.000523883;10.4777
72;0.000531262;10.6252
73;0.000538641;10.7728
74;0.000546019;10.9204
75;0.000553398;11.068
76;0.000560777;11.2155
77;0.000568155;11.3631
78;0.000575534;11.5107
79;0.000582913;11.6583
80;0.000590291;11.8058
81;0.00059767;11.9534
82;0.000605049;12.101
83;0.000612427;12.2485
84;0.000619806;12.3961
85;0.000627184;12.5437
86;0.000634563;12.6913
87;0.000641942;12.8388
88;0.00064932;12.9864
89;0.000656699;13.134
90;0.000664078;13.2816
91;0.000671456;13.4291
92;0.000678835;13.5767
93;0.000686214;13.7243
94;0.000693592;13.8718
95;0.000700971;14.0194
96;0.00070835;14.167
97;0.000715728;14.3146
98;0.000723107;14.4621
99;0.000730485;14.6097
100;0.000737864;14.7573
101;0.000745243;14.9049
102;0.000752621;15.0524
103;0.00076;15.2
104;0.000767379;15.3476
105;0.000774757;15.4951
106;0.000782136;15.6427
107;0.000789515;15.7903
108;0.000796893;15.9379
109;0.000804272;16.0854
110;0.00081165;16.233
111;0.000819029;16.3806
112;0.000826408;16.5282
113;0.000833786;16.6757
114;0.000841165;16.8233
115;0.000848544;16.9709
116;0.000855922;17.1184
117;0.000863301;17.266
118;0.00087068;17.4136
